,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones,Argentina,Otros Paises,mobile,desktop,tablet,Categoría de dispositivo promedio,Categoría de dispositivo std,Windows,Android,Linux,Macintosh,Sistema operativo (not set),iOS,Windows Phone,Chrome OS,Tizen,Sistema operativo promedio,Sistema operativo std,Organic Search,Social,Direct,Referral,Agrupación de canales predeterminada promedio,Agrupación de canales predeterminada std,mediana_de_medianas,lag_90,lag_180,lag_270,lag_360,mediana Dispositivos,mediana Sistema operativo,mediana Agrupación de canales predeterminada
77,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.33333334,0.47140452,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.1,0.3,1.0,0.0,0.0,0.0,0.25,0.4330127,63.0,104.5151,100.866425,99.52464,100.1708,0.0,0.0,0.0
78,9.0,3.0,3.0,1.0,3.0,8.0,1.0,2.0,7.0,0.0,3.0,2.9439204,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.9,2.0712316,8.0,0.0,1.0,0.0,2.25,3.344772,60.5,104.5151,100.866425,99.52464,100.1708,2.0,0.0,0.5
79,10.0,4.0,7.0,1.0,7.0,5.0,5.0,2.0,8.0,0.0,3.3333333,3.3993464,7.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,1.0,2.04939,4.0,1.0,5.0,0.0,2.5,2.0615528,59.0,104.5151,100.866425,99.52464,100.1708,2.0,0.0,2.5
80,44.0,6.0,7.0,1.0,7.0,43.0,1.0,38.0,6.0,0.0,14.666667,16.679995,6.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.4,11.341957,12.0,0.0,32.0,0.0,11.0,13.076696,57.5,104.5151,100.866425,99.52464,100.1708,6.0,0.0,6.0
81,12.0,4.0,4.0,1.0,4.0,12.0,0.0,10.0,2.0,0.0,4.0,4.3204937,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.2,2.993326,12.0,0.0,0.0,0.0,3.0,5.196152,57.0,104.5151,100.866425,99.52464,100.1708,2.0,0.0,0.0
82,10.0,3.0,5.0,1.0,5.0,9.0,1.0,8.0,2.0,0.0,3.3333333,3.3993464,2.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0,1.0,2.0976176,8.0,0.0,2.0,0.0,2.5,3.2787192,56.5,104.5151,100.866425,99.52464,100.1708,2.0,0.0,1.0
83,26.0,1.0,2.0,1.0,2.0,26.0,0.0,25.0,1.0,0.0,8.666667,11.556623,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.6,7.4726167,26.0,0.0,0.0,0.0,6.5,11.25833,54.0,104.5151,100.866425,99.52464,100.1708,1.0,0.0,0.0
84,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.33333334,0.47140452,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.1,0.3,1.0,0.0,0.0,0.0,0.25,0.4330127,49.0,104.5151,100.866425,99.52464,100.1708,0.0,0.0,0.0
85,11.0,1.0,1.0,1.0,1.0,11.0,0.0,0.0,11.0,0.0,3.6666667,5.1854496,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.1,3.3,11.0,0.0,0.0,0.0,2.75,4.7631397,45.0,104.5151,100.866425,99.52464,100.1708,0.0,0.0,0.0
86,9.0,3.0,5.0,1.0,5.0,7.0,2.0,1.0,8.0,0.0,3.0,3.559026,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.9,2.0712316,3.0,0.0,6.0,0.0,2.25,2.4874685,43.5,104.5151,100.866425,99.52464,100.1708,1.0,0.0,1.5
87,3.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,0.0,0.0,1.0,1.4142135,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.3,0.64031243,3.0,0.0,0.0,0.0,0.75,1.299038,41.5,104.5151,100.866425,99.52464,100.1708,0.0,0.0,0.0
88,10.0,8.0,8.0,1.0,8.0,9.0,1.0,3.0,7.0,0.0,3.3333333,2.8674417,7.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,2.0976176,9.0,0.0,1.0,0.0,2.5,3.7749171,41.5,104.5151,100.866425,99.52464,100.1708,3.0,0.0,0.5
89,4.0,1.0,2.0,1.0,2.0,4.0,0.0,1.0,3.0,0.0,1.3333334,1.2472191,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4,0.9165151,4.0,0.0,0.0,0.0,1.0,1.7320508,41.5,104.5151,100.866425,99.52464,100.1708,1.0,0.0,0.0
90,8.0,1.0,2.0,1.0,2.0,8.0,0.0,7.0,1.0,0.0,2.6666667,3.091206,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.8,2.0880613,8.0,0.0,0.0,0.0,2.0,3.4641016,41.5,541.0,100.866425,99.52464,100.1708,1.0,0.0,0.0
