,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones,Argentina,Otros Paises,mobile,desktop,tablet,Categoría de dispositivo promedio,Categoría de dispositivo std,Windows,Android,Linux,Macintosh,Sistema operativo (not set),iOS,Windows Phone,Chrome OS,Tizen,Sistema operativo promedio,Sistema operativo std,Organic Search,Social,Direct,Referral,Agrupación de canales predeterminada promedio,Agrupación de canales predeterminada std,mediana_de_medianas,lag_90,lag_180,lag_270,lag_360
42,60.0,16.0,24.0,1.125,27.0,57.0,3.0,20.0,40.0,0.0,20.0,16.329931,39.0,18.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,12.206555,34.0,17.0,9.0,0.0,15.0,12.509996,22.02433234421365,32.2905,33.648197,34.116962,34.36589
43,61.0,7.0,18.0,1.1666666,21.0,59.0,2.0,15.0,46.0,0.0,20.333334,19.154345,45.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.1,13.707297,20.0,33.0,7.0,1.0,15.25,12.33643,22.02433234421365,32.2905,33.648197,34.116962,34.36589
44,73.0,16.0,32.0,1.09375,35.0,68.0,5.0,28.0,45.0,0.0,24.333334,18.553226,43.0,27.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,7.3,14.318171,26.0,9.0,37.0,1.0,18.25,14.095655,22.02433234421365,32.2905,33.648197,34.116962,34.36589
45,36.0,11.0,18.0,1.3333334,24.0,36.0,0.0,14.0,22.0,0.0,12.0,9.092121,21.0,13.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.6,6.9455023,16.0,0.0,20.0,0.0,9.0,9.110434,22.02433234421365,32.2905,33.648197,34.116962,34.36589
46,28.0,11.0,14.0,1.0,14.0,26.0,2.0,16.0,12.0,0.0,9.333333,6.7986927,11.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.8,4.935585,11.0,1.0,16.0,0.0,7.0,6.745369,22.02433234421365,32.2905,33.648197,34.116962,34.36589
47,20.0,6.0,13.0,1.0769231,14.0,16.0,4.0,10.0,10.0,0.0,6.6666665,4.714045,9.0,8.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,3.3166249,6.0,3.0,11.0,0.0,5.0,4.0620193,43.0,32.2905,33.648197,34.116962,34.36589
48,133.0,17.0,26.0,1.3076923,34.0,130.0,3.0,36.0,97.0,0.0,44.333332,40.036095,96.0,36.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.3,29.570425,24.0,88.0,21.0,0.0,33.25,32.934593,43.0,32.2905,33.648197,34.116962,34.36589
49,83.0,34.0,41.0,1.195122,49.0,78.0,5.0,59.0,22.0,2.0,27.666666,23.612614,21.0,57.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,8.3,17.372679,27.0,2.0,53.0,1.0,20.75,21.335123,44.0,32.2905,33.648197,34.116962,34.36589
50,51.0,11.0,22.0,1.1818181,26.0,49.0,2.0,20.0,31.0,0.0,17.0,12.832251,21.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,8.251666,19.0,16.0,16.0,0.0,12.75,7.4624057,43.5,32.2905,33.648197,34.116962,34.36589
51,49.0,15.0,21.0,1.0476191,22.0,48.0,1.0,29.0,20.0,0.0,16.333334,12.119773,18.0,25.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,4.9,8.537564,21.0,9.0,17.0,2.0,12.25,7.3271756,50.0,32.2905,33.648197,34.116962,34.36589
52,14.0,7.0,11.0,1.0909091,12.0,11.0,3.0,6.0,8.0,0.0,4.6666665,3.3993464,6.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,2.3748684,7.0,1.0,6.0,0.0,3.5,3.0413814,50.0,32.2905,33.648197,34.116962,34.36589
53,19.0,3.0,10.0,1.1,11.0,18.0,1.0,9.0,10.0,0.0,6.3333335,4.4969125,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3.8065732,5.0,1.0,13.0,0.0,4.75,5.1173725,46.5,32.2905,33.648197,34.116962,34.36589
54,19.0,6.0,8.0,1.125,9.0,18.0,1.0,12.0,7.0,0.0,6.3333335,4.9216075,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3.9610605,8.0,3.0,8.0,0.0,4.75,3.4186985,34.0,32.2905,33.648197,34.116962,34.36589
55,69.0,21.0,28.0,1.0714285,30.0,65.0,4.0,41.0,28.0,0.0,23.0,17.107504,26.0,41.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.9,13.72188,33.0,10.0,26.0,0.0,17.25,12.987975,34.0,32.2905,33.648197,34.116962,34.36589
56,92.0,27.0,30.0,1.2,36.0,91.0,1.0,76.0,16.0,0.0,30.666666,32.714252,11.0,76.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,9.2,22.502445,48.0,15.0,29.0,0.0,23.0,17.70593,34.0,32.2905,33.648197,34.116962,34.36589
57,56.0,22.0,28.0,1.1071428,31.0,49.0,7.0,33.0,23.0,0.0,18.666666,13.816255,14.0,18.0,8.0,1.0,0.0,15.0,0.0,0.0,0.0,5.6,7.045566,14.0,4.0,38.0,0.0,14.0,14.764823,37.5,32.2905,33.648197,34.116962,34.36589
58,45.0,16.0,22.0,1.1363636,25.0,45.0,0.0,26.0,19.0,0.0,15.0,10.9848385,19.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.5,8.857201,15.0,1.0,28.0,1.0,11.25,11.233321,47.0,32.2905,33.648197,34.116962,34.36589
59,23.0,7.0,14.0,1.0,14.0,22.0,1.0,14.0,9.0,0.0,7.6666665,5.7927155,8.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.3,4.267318,14.0,3.0,6.0,0.0,5.75,5.2141633,44.5,32.2905,33.648197,34.116962,34.36589
60,17.0,5.0,9.0,1.2222222,11.0,16.0,1.0,11.0,6.0,0.0,5.6666665,4.4969125,6.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.7,3.0347981,8.0,4.0,5.0,0.0,4.25,2.8613808,44.0,32.2905,33.648197,34.116962,34.36589
